"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"WEB","St. Louis","","2012-01-11 10:04:24.0","2012-01-20 10:04:46.0","2012-01-01 15:41:22.0","Graffiti-Public","","Graffiti","26","Graffiti on public property","2012-01-24 00:00:00.0","2232 S GRAND BLVD","B","Graffiti-Public","63104","344709","894488.00000000","1011215.00000000","CLOSED","OP BRIGHTSIDE,","06"
"","St. Louis","","2012-01-11 10:04:24.0","2012-01-20 10:04:46.0","2012-01-01 15:41:22.0","Graffiti-Public","","Graffiti","26","Graffiti on public property","2012-01-24 00:00:00.0","2232 S GRAND BLVD","B","Graffiti-Public","63104","344709","894488.00000000","1011215.00000000","CLOSED","OP BRIGHTSIDE,","06"
"WEB","St. Louis","","2012-01-11 10:04:24.0","2012-01-20 10:04:46.0","2012-01-01 15:41:22.0","Graffiti-Public","","Graffiti","26","Graffiti on public property","2012-01-24 00:00:00.0","2232 S GRAND BLVD","B","Graffiti-Public","63104","344709","894488.00000000","1011215.00000000","CLOSED","OP BRIGHTSIDE,","06"
"","","","2013-06-28 10:45:09.717","2013-06-28 10:45:09.717","2012-01-03 08:25:35.0","Caller Name/# required","","Animals","48","Report stray cat(s)","2012-01-12 00:00:00.0","5622 ENRIGHT","B","Stray Cat","","344783","882262.00000000","1027291.00000000","CLOSED","METRO ANIMAL,","26"
"","","","2013-06-28 10:46:31.167","2013-06-28 10:46:31.167","2012-01-03 11:02:02.0","Caller Name/# required","","Animals","48","Report stray cat(s)","2012-01-12 00:00:00.0","5572 CLEMENS","B","Stray Cat","","344867","882636.00000000","1027675.00000000","CLOSED","METRO ANIMAL,","26"
"","St. Louis","","2012-01-12 11:51:37.0","2012-01-12 11:52:01.0","2012-01-03 14:53:58.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","12","Inspect city tree","2012-01-24 00:00:00.0","5539 DAGGETT AVE","B","Inspect City Tree","","344955","882900.00000000","1013934.00000000","CLOSED","FORESTRY,","10"
"","St. Louis","","2012-01-12 11:51:37.0","2012-01-12 11:52:01.0","2012-01-03 14:53:58.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","12","Inspect city tree","2012-01-24 00:00:00.0","5539 DAGGETT AVE","B","Inspect City Tree","","344955","882900.00000000","1013934.00000000","CLOSED","FORESTRY,","10"
"","","","2012-01-11 11:35:07.0","2012-01-11 11:35:18.0","2012-01-03 15:22:19.0","City Tree Limb Down","","Trees","07","Limb from a city tree has fallen","2012-01-10 00:00:00.0","5400 DELOR ST","B","City Tree Limb Down","","344977","881641.00000000","1001246.00000000","CLOSED","FORESTRY,","16"
"","","","2016-11-04 15:21:05.0","2016-11-04 15:21:14.693","2012-01-04 11:01:49.0","Caller Name/# required","","Animals","74","Report stray cat(s)","2012-01-13 00:00:00.0","1061 WALL ST","B","Stray Cat","","345128","895880.00000000","1051151.00000000","CLOSED","METRO ANIMAL,","02"
"","St. Louis","","2013-06-28 10:49:47.0","2017-02-13 09:05:06.813","2012-01-04 15:02:43.0","Caller Name/# required","","Animals","48","Report stray cat(s)","2012-01-13 00:00:00.0","5844 ETZEL AVE","B","Stray Cat","","345248","892553.00000000","1004343.00000000","CLOSED","METRO ANIMAL,","26"
