"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2008-09-08 00:00:00.0","2021-09-21 22:26:41.04","2008-09-02 07:49:04.0","Light(s) Out","","Street Lights","14","Street light(s) out","2008-09-09 00:00:00.0","5459 TEDMAR","B","Light(s) Out","","457","882147.00000000","1007167.00000000","CLOSED","TRAFFIC DIVISION, 511","23"
"","","","2008-09-09 00:00:00.0","2008-09-09 12:48:00.0","2008-09-02 10:34:20.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","","Traffic sign needs repair","2008-09-05 00:00:00.0","CARONDELET BLVD","B","Sign needs attention","","480","882133.34400000","992540.50100000","CLOSED","TRAFFIC DIVISION, 511","12"
"","St. Louis","","2008-09-11 00:00:00.0","2008-09-11 11:30:12.0","2008-09-05 10:28:03.0","Light(s) Out","","Street Lights","06","Street light(s) out","2008-09-12 00:00:00.0","4724 TERRACE AV","A","Light(s) Out","63116","694","884115.00000000","999585.00000000","CLOSED","TRAFFIC DIVISION, 511","13"
"NSO","St. Louis","","2008-09-09 00:00:00.0","2008-09-11 10:36:28.0","2008-09-05 13:22:16.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","06","Traffic sign needs repair","2008-09-10 00:00:00.0","5016 MILENTZ AV","B","Sign needs attention","63109","723","882259.00000000","999569.00000000","CLOSED","TRAFFIC DIVISION, 511","13"
"NSO","St. Louis","","2008-09-09 00:00:00.0","2008-09-09 11:07:20.0","2008-09-05 13:27:04.0","Signal Damaged","","Traffic Signal","05","Traffic signal damaged or facing wrong way","2008-09-10 00:00:00.0","4175 HOLLY HILLS AV","B","Signal Damaged","63116","726","885047.00000000","996442.00000000","CLOSED","TRAFFIC DIVISION, 511","13"
"","","","2008-09-08 00:00:00.0","2008-09-22 14:04:37.0","2008-09-08 08:20:00.0","Signals Flashing","","Traffic Signal","35","Traffic signals on flash","2008-09-30 00:00:00.0","8TH & MARKET ","A","Signals Flashing","","2009","907816.00000000","1017008.00000000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","","2008-09-15 00:00:00.0","2008-09-15 09:49:36.0","2008-09-11 10:29:32.0","Illegal Use","","Right of Way Issues","09","Illegal use of city right of way, someone is blocking city right of way","2008-09-25 00:00:00.0","6343 THOLOZAN AVE","B","Illegal Use","63109","1063","877961.23100000","1006136.46600000","CLOSED","STREET DEPT, 510","23"
"NSO","","","2008-10-02 00:00:00.0","2008-10-02 14:40:08.0","2008-09-11 13:49:56.0","Sewer Lateral Defect","","Right of Way Issues","07","Sewer lateral problem","2008-09-21 00:00:00.0","5462 WALSH","A","Sewer Lateral Defect","","1080","880600.00000000","1001166.00000000","CLOSED","STREET DEPT, 510","16"
"","St. Louis","","2008-09-15 00:00:00.0","2008-09-15 09:48:49.0","2008-09-11 15:23:25.0","Bad Condition","","Right of Way Issues","09","Bad condition in the right of way","2008-09-22 00:00:00.0","6343 THOLOZAN AVE","B","Bad Condition","63109","1093","877961.23100000","1006136.46600000","CLOSED","STREET DEPT, 510","23"
"","St. Louis","","2008-09-16 00:00:00.0","2008-09-16 09:59:55.0","2008-09-12 12:53:23.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","03","Traffic sign needs repair","2008-09-15 00:00:00.0","5611 S GRAND BLVD","A","Sign needs attention","63111","1168","890371.00000000","995905.00000000","CLOSED","TRAFFIC DIVISION, 511","13"
"","","","2008-09-18 00:00:00.0","2008-09-26 14:58:19.0","2008-09-18 07:35:00.0","Misc - TLD","","Traffic Signal","59","","","2254 VANDEVENTER","A","Misc - TLD","","2575","897297.00000000","1026878.00000000","CLOSED","TRAFFIC DIVISION, 511","05"
"","","2008-09-19 12:29:52.0","2008-09-19 00:00:00.0","","2008-09-19 12:29:28.0","MODOT Referral","","MODOT","36","","2008-09-19 00:00:00.0","1200 MARKET","B","MODOT Referral","","1785","906044.00000000","1017102.00000000","CANCEL","STREET DEPT, 510","07"
"","","","2008-09-22 00:00:00.0","2008-09-22 09:11:33.0","2008-09-21 06:08:47.0","Light(s) Out","","Street Lights","13","Street light(s) out","2008-09-25 00:00:00.0","2200 VANDEVENTER","B","Light(s) Out","","1885","887265.00000000","1012512.00000000","CLOSED","TRAFFIC DIVISION, 511","08"
"","","2008-10-07 14:27:49.0","2008-09-24 00:00:00.0","","2008-09-24 12:29:00.0","MODOT Referral","","MODOT","","","2008-09-24 00:00:00.0","3212 CLIFTON ","B","MODOT Referral","","2269","","","CANCEL","STREET DEPT, 510",""
"NSO","","","2008-10-02 00:00:00.0","2008-10-02 15:38:11.0","2008-09-29 15:49:03.0","Sewer Lateral Defect","","Right of Way Issues","11","Sewer lateral problem","2008-10-09 00:00:00.0","6412 SOUTHWEST","B","Sewer Lateral Defect","","2758","878460.00000000","1011893.00000000","CLOSED","STREET DEPT, 510","24"
"","","","2008-10-06 00:00:00.0","2008-10-06 13:42:38.0","2008-09-30 08:30:03.0","Curb Repair","","Right of Way Issues","63","Curb repair","2008-10-05 00:00:00.0","1201 MARKET","B","Curb Repair","","2809","907581.00000000","1025335.00000000","CLOSED","STREET DEPT, 510","05"
"","","","2008-10-15 00:00:00.0","2008-10-15 10:48:14.0","2008-10-14 08:02:20.0","Light(s) Out","","Street Lights","15","Street light(s) out","2008-10-17 00:00:00.0","3941 CHIPPEWA","A","Light(s) Out","","3740","890886.00000000","1003492.00000000","CLOSED","TRAFFIC DIVISION, 511","15"
"","","","2008-10-17 00:00:00.0","2008-10-17 10:47:04.0","2008-10-17 09:11:17.0","Signal Bulb Out","","Traffic Signal","36","Traffic signal bulb out","2008-10-22 00:00:00.0","14TH & OLIVE","A","Signal Bulb Out","","4035","905818.00000000","1018477.00000000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","","2008-10-20 00:00:00.0","2019-03-15 14:49:23.93","2008-10-20 16:46:20.0","Light Damaged","Street light damaged, including any damage to light assembly, pole, electrical issue, or pole mount that isn't covered within other categories.","Street Lights","","Street light damaged","2008-10-27 00:00:00.0","","A","Light Damaged","","4165","","","CLOSED","TRAFFIC DIVISION, 511",""
"","","","2008-10-29 00:00:00.0","2008-10-29 15:13:37.0","2008-10-22 14:35:03.0","Light(s) Out","","Street Lights","77","Street light(s) out","2008-10-27 00:00:00.0","1118 N GRAND","A","Light(s) Out","","4372","897608.00000000","1023054.00000000","CLOSED","TRAFFIC DIVISION, 511","19"
"","","","2008-11-11 00:00:00.0","2008-11-11 15:40:42.0","2008-11-11 14:51:05.0","Completely out","","Traffic Signal","35","Traffic signal is completely out","2008-11-14 00:00:00.0","N 7TH ST & OLIVE ST","A","Signal Dark","","5597","908394.57700000","1017767.55800000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","","2008-11-17 00:00:00.0","2008-11-26 14:33:29.0","2008-11-17 00:00:00.0","Signal Damaged","","Traffic Signal","64","Traffic signal damaged or facing wrong way","2008-12-01 00:00:00.0","BROADWAY & NORTH MARKET","A","Signal Damaged","","6689","908931.00000000","1025759.00000000","CLOSED","TRAFFIC DIVISION, 511","05"
